Encuesta,Fecha,Mes,País de procedencia,Cuidad,Procedencia,Zona procedencia- Visitantes nacionales,Zona procedencia- Visitantes internacionales,Sexo,Edad,Edad rangos,Motivo Viaje,Otro motivo de viaje o consulta PIT-Cual?,Idioma ,Otro idioma-Cual?,Alojamiento,Otro alojamiento-Cual?,Tipo de transporte,Tiempo de estancia,Rango de Tiempo de estancia
1000,06/30/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Femenino,60,Más de 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1001,06/30/2017,Junio,México,No responde,Extranjero,N/A,America Latina,Masculino,21,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,30,Más de 10 noches
1002,06/30/2017,Junio,Colombia,Bucaramanga,Nacional,Centro,N/A,Masculino,27,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,8,7 - 10 Noches
1003,06/30/2017,Junio,Chile,No responde,Extranjero,N/A,America Latina,Masculino,53,Más de 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,10,7 - 10 Noches
1004,06/30/2017,Junio,Colombia,Palmira,Nacional,Occidente,N/A,Femenino,34,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre particular,,No responde
1005,06/30/2017,Junio,Colombia,Bogotá,Nacional,Centro,N/A,Masculino,16,0-20 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,6,4 - 6 Noches
1006,06/30/2017,Junio,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,33,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,4,4 - 6 Noches
1007,06/30/2017,Junio,México,Puebla,Extranjero,N/A,America Latina,Femenino,26,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,10,7 - 10 Noches
1008,06/30/2017,Junio,México,Puebla,Extranjero,N/A,America Latina,Masculino,29,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,10,7 - 10 Noches
1009,06/30/2017,Junio,México,Puebla,Extranjero,N/A,America Latina,Femenino,19,0-20 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,10,7 - 10 Noches
1010,06/30/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Femenino,50,Más de 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1011,06/30/2017,Junio,Colombia,Medellin,Nacional,Centro,N/A,Femenino,52,Más de 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre particular,30,Más de 10 noches
1012,06/30/2017,Junio,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,36,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre particular,8,7 - 10 Noches
1013,06/30/2017,Junio,Colombia,Tunja,Nacional,Centro,N/A,Masculino,43,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,3,2 - 3 Noches
1014,06/30/2017,Junio,Colombia,Tunja,Nacional,Centro,N/A,Femenino,38,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,3,2 - 3 Noches
1015,06/30/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Masculino,39,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1016,06/30/2017,Junio,Colombia,Palmira,Nacional,Occidente,N/A,Masculino,28,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,,No responde
1017,06/30/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Masculino,22,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1018,06/30/2017,Junio,Colombia,Florida,Nacional,Occidente,N/A,Masculino,36,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,,No responde
1019,06/30/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Femenino,40,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1020,06/30/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Masculino,42,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1021,06/30/2017,Junio,Colombia,Florida,Nacional,Occidente,N/A,Masculino,23,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,,No responde
1022,06/30/2017,Junio,Estados Unidos,Boston,Extranjero,N/A,Norteamerica,Masculino,40,21 - 45 años,Cultural,N/A,Inglés,N/A,Hotel,N/A,Aéreo,7,7 - 10 Noches
1023,06/30/2017,Junio,Estados Unidos,Boston,Extranjero,N/A,Norteamerica,Masculino,39,21 - 45 años,Cultural,N/A,Inglés,N/A,Hotel,N/A,Aéreo,8,7 - 10 Noches
1024,06/30/2017,Junio,México,No responde,Extranjero,N/A,America Latina,Masculino,35,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,4,4 - 6 Noches
1025,06/30/2017,Junio,Chile,No responde,Extranjero,N/A,America Latina,Masculino,43,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,4,4 - 6 Noches
1026,06/30/2017,Junio,Colombia,Pasto,Nacional,Sur,N/A,Masculino,38,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,10,7 - 10 Noches
1027,06/30/2017,Junio,Colombia,Medellin,Nacional,Centro,N/A,Masculino,55,Más de 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,4,4 - 6 Noches
1028,06/30/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Masculino,24,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1029,06/30/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Femenino,38,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1030,06/30/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Masculino,75,Más de 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1031,07/01/2017,Julio,Colombia,Bucaramanga,Nacional,Centro,N/A,Masculino,43,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre particular,7,7 - 10 Noches
1032,07/01/2017,Julio,Colombia,Bucaramanga,Nacional,Centro,N/A,Masculino,33,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre particular,7,7 - 10 Noches
1033,07/01/2017,Julio,Colombia,Cali,Local,Occidente,N/A,Femenino,66,Más de 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1034,07/01/2017,Julio,Colombia,Medellin,Nacional,Centro,N/A,Femenino,35,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,3,2 - 3 Noches
1035,07/01/2017,Julio,Colombia,Medellin,Nacional,Centro,N/A,Masculino,45,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,3,2 - 3 Noches
1036,07/01/2017,Julio,Colombia,Facatativa,Nacional,Centro,N/A,Masculino,31,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,3,2 - 3 Noches
1037,07/01/2017,Julio,Colombia,Cali,Local,Occidente,N/A,Masculino,29,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1038,07/01/2017,Julio,Colombia,Huila,Nacional,Centro,N/A,Masculino,20,0-20 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre particular,60,Más de 10 noches
1039,07/01/2017,Julio,Colombia,Ibague,Nacional,Centro,N/A,Masculino,27,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre particular,30,Más de 10 noches
1040,07/01/2017,Julio,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,40,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,8,7 - 10 Noches
1041,07/01/2017,Julio,Colombia,Cali,Local,Occidente,N/A,Masculino,61,Más de 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1042,07/01/2017,Julio,Colombia,Cali,Local,Occidente,N/A,Masculino,41,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1043,07/01/2017,Julio,Colombia,Pereira,Nacional,Centro,N/A,Masculino,43,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre particular,15,Más de 10 noches
1044,07/01/2017,Julio,Colombia,Pereira,Nacional,Centro,N/A,Masculino,29,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre particular,3,2 - 3 Noches
1045,07/01/2017,Julio,Colombia,Cali,Local,Occidente,N/A,Masculino,41,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1046,07/01/2017,Julio,Colombia,Cali,Local,Occidente,N/A,Masculino,60,Más de 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1047,07/01/2017,Julio,Colombia,Cali,Local,Occidente,N/A,Masculino,23,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1048,07/01/2017,Julio,Colombia,Cali,Local,Occidente,N/A,Femenino,22,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1049,07/01/2017,Julio,México,No responde,Extranjero,N/A,America Latina,Masculino,33,21 - 45 años,Turismo rural,N/A,Español,N/A,Hotel,N/A,Aéreo,7,7 - 10 Noches
1050,07/01/2017,Julio,Colombia,Bogotá,Nacional,Centro,N/A,Masculino,27,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda turistica,N/A,Terrestre público,3,2 - 3 Noches
