Encuesta;Fecha;Mes;Pais de Procedencia;Cuidad;Procedencia;Zona de procedencia-Visitantes  nacionales;Zona de procedencia- Visitantes internacionales;Sexo;Edad;Edad rangos;Motivo Viaje;Otro motivo de viaje o consulta PIT-Cual?;Idioma;Otro idioma Cual?;Alojamiento;Otro alojamiento Cual?;Tipo de transporte;Tiempo de estancia;Rango de Tiempo de estancia;;;;;;;;;;
2330;2018-10-25;octubre;Perú;Lima;Extranjero;N/A;America Latina;Femenino;27;21 a 45 años;Negocios;N/A;Español;N/A;Hotel;N/A;Aéreo;2;2-3 Noches;;;;;;;;;;
2331;2018-10-25;octubre;Colombia;Medellín;Nacional;Centro;N/A;Femenino;48;Más de 45 años;Negocios;N/A;Español;N/A;Otros;N/A;Terrestre público;20;Mas de 10 Noches;;;;;;;;;;
2332;2018-10-25;Octubre;Venezuela;Caracas;Extranjero;N/A;America Latina;Femenino;68;Más de 45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;15;Mas de 10 Noches;;;;;;;;;;
2333;2018-10-25;Octubre;Venezuela;Caracas;Extranjero;N/A;America Latina;Masculino;34;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;15;Mas de 10 Noches;;;;;;;;;;
2334;2018-10-25;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;60;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2335;2018-10-25;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;48;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2336;2018-10-26;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;18;0 - 20 años;Educación y/o Formación;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2337;2018-10-26;Octubre;México;Ciudad de mexico ;Extranjero;N/A;Norteamerica;Masculino;55;Más de 45 años;Educación y/o Formación;N/A;Español;N/A;Hotel;N/A;Aéreo;6;4-6 Noches;;;;;;;;;;
2338;2018-10-26;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;38;21 a 45 años;Educación y/o Formación;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2339;2018-10-26;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;40;21 a 45 años;Negocios;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2340;2018-10-26;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;18;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2341;2018-10-26;Octubre;Venezuela;Caracas;Extranjero;N/A;America Latina;Masculino;56;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Otros;N/A;N/A;N/A;N/A;;;;;;;;;;
2342;2018-10-26;Octubre;Venezuela;Caracas;Extranjero;N/A;America Latina;Masculino;26;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Otros;N/A;N/A;N/A;N/A;;;;;;;;;;
2343;2018-10-26;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;48;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2344;2018-10-26;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;32;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2345;2018-10-26;Octubre;Francia;Paris;Extranjero;N/A;Europa;Femenino;38;21 a 45 años;Recreacional o vacacional;N/A;Francés;N/A;Hostal;N/A;Aéreo;2;2-3 Noches;;;;;;;;;;
2346;2018-10-26;Octubre;Francia;Paris;Extranjero;N/A;Europa;Femenino;35;21 a 45 años;Recreacional o vacacional;N/A;Francés;N/A;Hostal;N/A;Aéreo;2;2-3 Noches;;;;;;;;;;
