Encuesta,Fecha,Mes,País de procedencia,Cuidad,Procedencia,Zona procedendia- Visitantes nacionales,Zona procedendia- Visitantes internacionales,Sexo,Edad rangos,Motivo Viaje,Otro motivo de viaje o consulta PIT-Cual?,Idioma ,Otro idioma-Cual?,Alojamiento,Otro alojamiento-Cual?,Tipo de transporte,Rango de Tiempo de estancia
969,11/19/2015,Noviembre,Holanda,Bruselas,Extranjero,N/A,Europa,Femenino,0 - 20 Años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,N/A
970,11/21/2015,Noviembre,Colombia,Cali,Local,Occidente,N/A,Masculino,Más de 45 años,Cultural,N/A,Español,N/A,Reside,N/A,Reside,Reside
971,11/21/2015,Noviembre,Colombia,Cali,Local,Occidente,N/A,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Reside,N/A,Reside,Reside
972,11/21/2015,Noviembre,Francia,Toulouse,Extranjero,N/A,Europa,Masculino,Más de 45 años,Cultural,N/A,Francés,N/A,Hotel,N/A,Terrestre público,N/A
973,11/21/2015,Noviembre,Francia,Toulouse,Extranjero,N/A,Europa,Femenino,Más de 45 años,Cultural,N/A,Francés,N/A,Hotel,N/A,Terrestre público,N/A
974,11/23/2015,Noviembre,Francia,Montpellier,Extranjero,N/A,Europa,Masculino,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,N/A
975,11/23/2015,Noviembre,Francia,Montpellier,Extranjero,N/A,Europa,Masculino,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,N/A
976,11/23/2015,Noviembre,México,Guanajuato,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Turismo rural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
977,11/23/2015,Noviembre,México,Oaxaca,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Turismo rural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
978,11/23/2015,Noviembre,Argentina,Mendoza,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Turismo rural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
979,11/23/2015,Noviembre,Colombia,Bogota,Nacional,Centro,N/A,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
980,11/23/2015,Noviembre,Colombia,Bogota,Nacional,Centro,N/A,Masculino,Más de 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
