"Categoría","Nombre","Dirección","Teléfono","Latitud, Longitud","Servicios","Longitud","Latitud","Georreferencia punto"
"Bares","DISCOTECA FUEGO","CRA 7  4-30","3166251101","5.337772410112889, -75.7288985899687","Bebidas","-757,288,985,899,687","5,337,772,410,112,880","POINT (-757288985899687 5337772410112880)"
"Bares","BEER PARA CREER","CRA 6 5-29","3234968754","5.337422091337664, -75.72885736781159","Bebidas","-7,572,885,736,781,150","5,337,422,091,337,660","POINT (-7572885736781150 5337422091337660)"
"Café especiales","XIXARACA","CALLE 7 NRO. 4 09","3146932579","5.336502507696012, -75.73033364248388","café shop, snacks","-7,573,033,364,248,380","5,336,502,507,696,010","POINT (-7573033364248380 5336502507696010)"
"Café especiales","EMILIA CAFE CLUB","CRA 8 # 3-25","3113669177","5.337363005689355, -75.72955848939165","café shop, snacks","-7,572,955,848,939,160","5,337,363,005,689,350","POINT (-7572955848939160 5337363005689350)"
"Café especiales","SOFY'S COFFEE","BARRIO LA PLAZUELA","3115282976","5.337656005576752, -75.7280473047328","café shop, snacks","-757,280,473,047,328","5,337,656,005,576,750","POINT (-757280473047328 5337656005576750)"
"Café especiales","CAFE LA MERCED","CARRERA 7  NO. 4  48","3203427861","5.337810083204802, -75.72903751621342","café shop, snacks","-7,572,903,751,621,340","5,337,810,083,204,800","POINT (-7572903751621340 5337810083204800)"
"Café especiales","LA FONDA DE PLANETA","CRA 7 # 5-26 PARQUE PRINCIPAL","3128318906","5.3378141793647025, -75.72937759698685","café shop, snacks","-7,572,937,759,698,680","53,378,141,793,647,000","POINT (-7572937759698680 53378141793647000)"
"Café especiales","MIRADOR COPITA","calle 10 7-20 Gobia","3147555852","5.338158724761601, -75.73173595203423","café shop, snacks","-7,573,173,595,203,420","5,338,158,724,761,600","POINT (-7573173595203420 5338158724761600)"
"Café especiales","HELADERIA Y CAFE DELIIIS","CRA 6 5-15","3136358216","5.337360221971298, -75.72954861058751","café shop, snacks","-7,572,954,861,058,750","5,337,360,221,971,290","POINT (-7572954861058750 5337360221971290)"
"Café especiales","QUIMERA","Carrera 6 N 6-15 piso 2","3113156879","5.337452871759746, -75.72986212716788","café shop, snacks","-7,572,986,212,716,780","5,337,452,871,759,740","POINT (-7572986212716780 5337452871759740)"
"Filigrana arte","ARTES Y JOYAS","Calle 6 #7-15","3145661492 / 3117619490","5.33784521030843, -75.72969802951135","Arte y joyas","-7,572,969,802,951,130","533,784,521,030,843","POINT (-7572969802951130 533784521030843)"
"Filigrana arte","XIXARACA JOYERIA (EN FILIGRANA,ORO Y PLATA)","Calle 4 #6-22","3218342645","5.337573706051787, -75.72850245957714","Arte y joyas","-7,572,850,245,957,710","5,337,573,706,051,780","POINT (-7572850245957710 5337573706051780)"
"Filigrana arte","COMPRA Y VENTA DE ORO LA PLAZUELA","Cra 6a #3-09 LA PLAZUELA","3128083040","5.337259912976772, -75.72809208161026","Arte y joyas","-7,572,809,208,161,020","5,337,259,912,976,770","POINT (-7572809208161020 5337259912976770)"
"Filigrana arte","AHITAMARA JOYAS DE LOS CERROS ENTRETEJIDOS","Cra 7 # 3-45","3135087181 / 3135395551","5.33769267944268, -75.72844874873428","Arte y joyas","-7,572,844,874,873,420","533,769,267,944,268","POINT (-7572844874873420 533769267944268)"
"Arte y pintura","MATICES","Plaza principal","3146943921",,"Artes",,,
"Arte y pintura","ARTE GUACUMA","EN SEGUIDA DROGUERIA QUINCHIA","3217238685","5.3375167425037455, -75.73042377707282","Artes","-7,573,042,377,707,280","53,375,167,425,037,400","POINT (-7573042377707280 53375167425037400)"
"Arte y pintura","MANUALIDADES NANA VALENCIA - PORCELANICRON","Plaza principal","3116134650",,"Artes",,,
"Arte y pintura","LOS PICASSOS - PINTURA Y MURALISMO","Plaza principal","3202129285","5.338788854707574, -75.72918776775266","Artes","-7,572,918,776,775,260","5,338,788,854,707,570","POINT (-7572918776775260 5338788854707570)"
